State,Average_Rainfall_mm,Average_Production_Tonnes
Andaman and Nicobar Islands,,3573249.95
Andhra Pradesh,,1812006.1
Arunachal Pradesh,,2681.3
Assam,,144422.91
Bihar,,19417.38
Chandigarh,,718.61
Chhattisgarh,,9736.87
Dadra and Nagar Haveli,,7026.13
Goa,,2443264.53
Gujarat,,62676.79
Haryana,,83981.03
Himachal Pradesh,,7249.66
Jammu and Kashmir ,,8144.0
Jharkhand,,8513.22
Karnataka,,40961.61
Kerala,,24451672.59
Madhya Pradesh,,19856.7
Maharashtra,,101123.61
Manipur,,4131.85
Meghalaya,,4224.8
Mizoram,,1741.66
Nagaland,,3269.97
Odisha,,11897.67
Puducherry,,441197.82
Punjab,,186568.57
Rajasthan,,23315.12
Sikkim,,3411.39
State_Name,,
Tamil Nadu,,910330.4
Telangana ,,59944.18
Tripura,,8868.92
Uttar Pradesh,,97456.77
Uttarakhand,,27394.27
West Bengal,,145660.56
